team,turnovers,blocks,home_team,home_score,away_team,away_score,completions,total_passes,o_line_scores,o_line_points,o_line_posessions,d_line_scores,d_line_points,d_line_posessions,rz_scores,rz_posessions,huck_completions,huck_attempts,season,is_home_team
Radicals,18,19,DET,10,MAD,34,232,250,10,12,18,24,36,36,24.0,27.0,8.0,13.0,2021,False
AlleyCats,20,5,CHI,20,IND,12,269,289,10,22,25,2,14,7,7.0,11.0,3.0,8.0,2021,False
Union,11,9,CHI,20,IND,12,243,254,10,14,19,10,22,14,19.0,21.0,4.0,8.0,2021,True
Thunderbirds,23,7,PIT,21,BOS,29,233,256,18,30,33,3,22,11,12.0,14.0,7.0,14.0,2021,True
Glory,15,15,PIT,21,BOS,29,246,261,18,22,30,11,30,15,15.0,18.0,8.0,12.0,2021,False
Cannons,25,10,PHI,21,TB,16,196,221,11,23,31,4,18,9,11.0,16.0,7.0,16.0,2021,False
Phoenix,20,14,PHI,21,TB,16,234,254,12,18,23,9,23,19,10.0,16.0,7.0,12.0,2021,True
Radicals,27,11,MAD,18,MIN,20,231,258,14,21,29,4,18,16,12.0,18.0,6.0,11.0,2021,True
Wind Chill,25,19,MAD,18,MIN,20,368,393,14,19,29,6,22,16,14.0,23.0,5.0,11.0,2021,False
AlleyCats,14,12,IND,30,DET,21,168,182,19,22,26,11,32,18,13.0,14.0,13.0,17.0,2021,True
Mechanix,23,8,IND,30,DET,21,301,324,20,32,39,1,22,6,9.0,11.0,6.0,11.0,2021,False
Empire,10,5,NY,19,DC,18,210,220,15,20,23,4,19,6,11.0,12.0,5.0,7.0,2021,True
Breeze,9,7,NY,19,DC,18,282,291,14,19,21,4,20,7,17.0,21.0,3.0,3.0,2021,False
